状态,代码,名称,趋势,5日涨跌幅_%,10日涨跌幅_%,20日涨跌幅_%,RSI14,K,D,J,KDJ状态,DIF,DEA,MACD柱,MACD状态,情绪分数,情绪标签,情绪缺失项,净流入截至,5日份额净流入_元,5日净流入错误,10日份额净流入_元,10日净流入错误,20日份额净流入_元,20日净流入错误,政策面理由,基本面理由,技术面理由,情绪面理由
技术候选,515630,证券保险ETF鹏华,多头,0.1542,2.5257,2.6066,46.5000,68.24,55.47,93.78,多头,0.009813,0.009917,-0.000207,收敛,65.56,偏热,,2026-07-21,361474000.00,,372858500.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+0.15%/+2.53%/+2.61%，RSI14=46.5，KDJ=多头，MACD=收敛。,情绪分数65.6（偏热）；5/10/20日份额净流入为+3.61亿/+3.73亿/N/A(missing_share_date)，5日成交量相对前20日为0.92倍，代表池综合宽度40.3%，缺失分项：无。
技术候选,159985,豆粕ETF华夏,多头,-0.8068,1.5138,10.6500,66.5914,62.58,63.25,61.25,空头,0.039838,0.033076,0.013524,零轴上多头,59.14,中性,,2026-07-21,13054800.00,,26122800.00,,,missing_share_date,"商品和黄金ETF主要受全球定价、汇率和地缘风险影响，本报告不设置方向性政策利好结论。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","全球通胀回落受阻且冲突与市场重定价风险仍存，黄金与商品具备对冲叙事但价格可能高波动。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为-0.81%/+1.51%/+10.65%，RSI14=66.6，KDJ=空头，MACD=零轴上多头。,情绪分数59.1（中性）；5/10/20日份额净流入为+0.13亿/+0.26亿/N/A(missing_share_date)，5日成交量相对前20日为1.53倍，代表池综合宽度40.3%，缺失分项：无。
技术候选,513650,标普500ETF南方,多头,-1.5536,0.5288,0.9559,56.8720,37.16,49.67,12.13,空头,0.006954,0.008188,-0.002468,收敛,57.67,中性,,2026-07-21,65174000.00,,160214000.00,,,missing_share_date,"跨境ETF同时受境外市场规则、汇率和QDII额度影响；本报告不把境内政策背景视为海外指数催化。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","IMF预计2026年全球增长3.0%，但地区分化、冲突和金融市场重定价风险仍在；海外ETF需额外核对溢价与汇率。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为-1.55%/+0.53%/+0.96%，RSI14=56.9，KDJ=空头，MACD=收敛。,情绪分数57.7（中性）；5/10/20日份额净流入为+0.65亿/+1.60亿/N/A(missing_share_date)，5日成交量相对前20日为1.31倍，代表池综合宽度40.3%，缺失分项：无。
技术候选,513120,港股创新药ETF广发,多头,-2.8618,5.3191,16.0156,59.2677,48.76,51.96,42.38,空头,0.029776,0.026332,0.006889,零轴上多头,51.47,中性,,2026-07-21,6238000.00,,106008500.00,,,missing_share_date,医保部门推进2026年药品目录与创新药目录形式审查，政策继续支持临床价值明确的创新，但准入和价格仍有约束。 [国家医疗保障局｜2026-07-14｜2026年国家基本医疗保险、生育保险和工伤保险药品目录及商业健康保险创新药品目录调整通过形式审查的申报药品名单](https://www.nhsa.gov.cn/art/2026/7/14/art_109_21421.html),医保局披露2026年上半年创新药对外授权交易总金额约1100亿美元，显示研发资产国际化活跃；里程碑兑现与个股差异仍大。 [国家医疗保障局｜2026-07-14｜我国创新药对外授权交易保持活跃](https://www.nhsa.gov.cn/art/2026/7/14/art_14_21423.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为-2.86%/+5.32%/+16.02%，RSI14=59.3，KDJ=空头，MACD=零轴上多头。,情绪分数51.5（中性）；5/10/20日份额净流入为+0.06亿/+1.06亿/N/A(missing_share_date)，5日成交量相对前20日为1.15倍，代表池综合宽度40.3%，缺失分项：无。
技术候选,159992,创新药ETF银华,多头,-3.5088,8.3744,13.8422,56.4935,57.13,60.22,50.95,空头,0.027783,0.026320,0.002926,零轴上多头,50.08,中性,,2026-07-21,-19335600.00,,190866000.00,,,missing_share_date,医保部门推进2026年药品目录与创新药目录形式审查，政策继续支持临床价值明确的创新，但准入和价格仍有约束。 [国家医疗保障局｜2026-07-14｜2026年国家基本医疗保险、生育保险和工伤保险药品目录及商业健康保险创新药品目录调整通过形式审查的申报药品名单](https://www.nhsa.gov.cn/art/2026/7/14/art_109_21421.html),医保局披露2026年上半年创新药对外授权交易总金额约1100亿美元，显示研发资产国际化活跃；里程碑兑现与个股差异仍大。 [国家医疗保障局｜2026-07-14｜我国创新药对外授权交易保持活跃](https://www.nhsa.gov.cn/art/2026/7/14/art_14_21423.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为-3.51%/+8.37%/+13.84%，RSI14=56.5，KDJ=空头，MACD=零轴上多头。,情绪分数50.1（中性）；5/10/20日份额净流入为-0.19亿/+1.91亿/N/A(missing_share_date)，5日成交量相对前20日为1.16倍，代表池综合宽度40.3%，缺失分项：无。
技术候选,511190,信用债ETF海富通,多头,0.0586,0.0830,0.1956,71.2598,92.05,88.40,99.35,超买,0.068481,0.072331,-0.007700,收敛,47.57,中性,,2026-07-21,0.00,,162730550.00,,,missing_share_date,资本市场监管强调防风险和稳定运行；债券ETF仍受利率、信用利差和久期影响，不能当作无波动现金。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),上半年经济同比增长4.7%，增长与价格环境共同影响利率方向；长久期国债和信用债需分别控制久期与信用风险。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+0.06%/+0.08%/+0.20%，RSI14=71.3，KDJ=超买，MACD=收敛。,情绪分数47.6（中性）；5/10/20日份额净流入为+0.00亿/+1.63亿/N/A(missing_share_date)，5日成交量相对前20日为0.44倍，代表池综合宽度40.3%，缺失分项：无。
观察,510050,上证50ETF华夏,震荡,0.8486,2.6919,2.1825,57.4614,60.23,47.62,85.45,多头,0.007281,0.005331,0.003900,金叉,76.69,偏热,,2026-07-21,1828487700.00,,2754943200.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20未上行；5/10/20日涨跌幅分别为+0.85%/+2.69%/+2.18%，RSI14=57.5，KDJ=多头，MACD=金叉。,情绪分数76.7（偏热）；5/10/20日份额净流入为+18.28亿/+27.55亿/N/A(missing_share_date)，5日成交量相对前20日为1.78倍，代表池综合宽度40.3%，缺失分项：无。
观察,588000,科创50ETF华夏,震荡,-3.3531,-8.6247,-6.4885,42.6321,26.99,24.06,32.86,多头,-0.008023,0.031009,-0.078065,收敛,75.95,偏热,,2026-07-21,22707498000.00,,27612684000.00,,,missing_share_date,六部门部署智能工厂梯度培育，政策支持人工智能与制造业融合和场景落地；执行节奏与商业化质量仍需验证。 [工业和信息化部等六部门｜2026-07-15｜关于开展2026年度智能工厂梯度培育行动的通知](https://www.ncsti.gov.cn/kjdt/tzgg/202607/t20260720_251553.html),上半年制造业增加值同比增长5.6%，为数字化和AI应用提供需求基础；ETF成份股估值与订单兑现差异较大。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20下方、MA60上方，MA20未上行；5/10/20日涨跌幅分别为-3.35%/-8.62%/-6.49%，RSI14=42.6，KDJ=多头，MACD=收敛。,情绪分数75.9（偏热）；5/10/20日份额净流入为+227.07亿/+276.13亿/N/A(missing_share_date)，5日成交量相对前20日为2.10倍，代表池综合宽度40.3%，缺失分项：无。
观察,561260,能源ETF工银,震荡,3.1148,5.2720,1.0442,63.0332,52.67,49.73,58.55,多头,-0.013263,-0.023947,0.021368,收敛,69.99,偏热,,2026-07-21,3488800.00,,3963200.00,,,missing_share_date,近90日未发现新增直接政策催化；3月国家能源局年度标准计划覆盖煤炭、油气和新能源等领域，侧重安全、绿色和标准化转型。 [国家能源局｜2026-03-24｜2026年能源行业标准计划立项指南](https://www.nea.gov.cn/20260324/a3810b8d733c4972a67ef5891a17b8ea/20260324a3810b8d733c4972a67ef5891a17b8ea_49f3818b8b71ed439ca1d10cceef0bc714.pdf),"全球增长仍有韧性但能源与地缘风险并存，资源品价格可能保持高波动；应以趋势、库存和份额申赎共同确认。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+3.11%/+5.27%/+1.04%，RSI14=63.0，KDJ=多头，MACD=收敛。,情绪分数70.0（偏热）；5/10/20日份额净流入为+0.03亿/+0.04亿/N/A(missing_share_date)，5日成交量相对前20日为1.20倍，代表池综合宽度40.3%，缺失分项：无。
观察,159887,银行ETF富国,震荡,1.1646,3.9904,5.0806,72.0207,76.76,81.84,66.59,空头,0.010613,0.002764,0.015696,零轴上多头,69.53,偏热,,2026-07-21,58481100.00,,16575600.00,,,missing_share_date,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+1.16%/+3.99%/+5.08%，RSI14=72.0，KDJ=空头，MACD=零轴上多头。,情绪分数69.5（偏热）；5/10/20日份额净流入为+0.58亿/+0.17亿/N/A(missing_share_date)，5日成交量相对前20日为1.10倍，代表池综合宽度40.3%，缺失分项：无。
