状态,代码,名称,趋势,5日涨跌幅_%,10日涨跌幅_%,20日涨跌幅_%,RSI14,K,D,J,KDJ状态,DIF,DEA,MACD柱,MACD状态,情绪分数,情绪标签,情绪缺失项,净流入截至,5日份额净流入_元,5日净流入错误,10日份额净流入_元,10日净流入错误,20日份额净流入_元,20日净流入错误,政策面理由,基本面理由,技术面理由,情绪面理由
技术候选,515630,证券保险ETF鹏华,多头,3.3413,-1.1416,0.2315,55.1601,54.22,42.31,78.05,多头,0.008403,0.010117,-0.003428,收敛,75.93,偏热,,2026-07-20,376033000.00,,388883500.00,,503357500.00,,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+3.34%/-1.14%/+0.23%，RSI14=55.2，KDJ=多头，MACD=收敛。,情绪分数75.9（偏热）；5/10/20日份额净流入为+3.76亿/+3.89亿/+5.03亿，5日成交量相对前20日为1.91倍，代表池综合宽度38.2%，缺失分项：无。
技术候选,159985,豆粕ETF华夏,多头,-1.1786,2.5882,9.6028,69.8574,55.40,66.32,33.56,空头,0.036634,0.029742,0.013784,零轴上多头,61.35,偏热,,2026-07-20,13062000.00,,26067600.00,,50360400.00,,"商品和黄金ETF主要受全球定价、汇率和地缘风险影响，本报告不设置方向性政策利好结论。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","全球通胀回落受阻且冲突与市场重定价风险仍存，黄金与商品具备对冲叙事但价格可能高波动。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为-1.18%/+2.59%/+9.60%，RSI14=69.9，KDJ=空头，MACD=零轴上多头。,情绪分数61.3（偏热）；5/10/20日份额净流入为+0.13亿/+0.26亿/+0.50亿，5日成交量相对前20日为1.75倍，代表池综合宽度38.2%，缺失分项：无。
技术候选,511190,信用债ETF海富通,多头,0.0195,0.0704,0.1486,61.6487,88.18,84.83,94.89,超买,0.068816,0.074736,-0.011840,收敛,53.25,中性,,2026-07-20,102333000.00,,217999550.00,,318271450.00,,资本市场监管强调防风险和稳定运行；债券ETF仍受利率、信用利差和久期影响，不能当作无波动现金。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),上半年经济同比增长4.7%，增长与价格环境共同影响利率方向；长久期国债和信用债需分别控制久期与信用风险。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+0.02%/+0.07%/+0.15%，RSI14=61.6，KDJ=超买，MACD=收敛。,情绪分数53.3（中性）；5/10/20日份额净流入为+1.02亿/+2.18亿/+3.18亿，5日成交量相对前20日为0.44倍，代表池综合宽度38.2%，缺失分项：无。
观察,511090,30年国债ETF鹏扬,震荡,-0.0764,-0.0052,-0.3790,43.0833,37.78,36.76,39.82,多头,-0.003274,0.034150,-0.074849,收敛,64.12,偏热,,2026-07-20,816069680.00,,3032087570.00,,3401926310.00,,资本市场监管强调防风险和稳定运行；债券ETF仍受利率、信用利差和久期影响，不能当作无波动现金。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),上半年经济同比增长4.7%，增长与价格环境共同影响利率方向；长久期国债和信用债需分别控制久期与信用风险。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20下方、MA60上方，MA20未上行；5/10/20日涨跌幅分别为-0.08%/-0.01%/-0.38%，RSI14=43.1，KDJ=多头，MACD=收敛。,情绪分数64.1（偏热）；5/10/20日份额净流入为+8.16亿/+30.32亿/+34.02亿，5日成交量相对前20日为0.85倍，代表池综合宽度38.2%，缺失分项：无。
观察,159825,农业ETF富国,震荡,4.3988,0.1406,4.2460,66.2500,77.72,70.07,93.02,多头,-0.001817,-0.007822,0.012010,收敛,63.83,偏热,,2026-07-20,24376000.00,,-1175000.00,,-108173000.00,,近90日未发现新增直接政策催化；2月中央一号文件强调农业综合生产能力、农民增收和县域产业，构成中长期政策背景。 [国家林业和草原局（新华社稿）｜2026-02-03｜2026年中央一号文件发布 部署扎实推进乡村全面振兴](https://www.forestry.gov.cn/c/www/szxx/659115.jhtml),上半年社会消费品零售总额同比增长1.3%，粮油食品和饮料类分别增长7.4%和6.0%；消费恢复但总体增速温和。 [国家统计局｜2026-07-15｜上半年消费市场基本平稳 新型消费成长壮大](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964127.html),收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为+4.40%/+0.14%/+4.25%，RSI14=66.2，KDJ=多头，MACD=收敛。,情绪分数63.8（偏热）；5/10/20日份额净流入为+0.24亿/-0.01亿/-1.08亿，5日成交量相对前20日为1.04倍，代表池综合宽度38.2%，缺失分项：无。
观察,513650,标普500ETF南方,震荡,-1.0000,-0.6864,-1.4667,53.2663,41.38,63.79,-3.45,空头,0.007648,0.008738,-0.002181,死叉,58.10,中性,,2026-07-20,80442000.00,,175472000.00,,344092000.00,,"跨境ETF同时受境外市场规则、汇率和QDII额度影响；本报告不把境内政策背景视为海外指数催化。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)","IMF预计2026年全球增长3.0%，但地区分化、冲突和金融市场重定价风险仍在；海外ETF需额外核对溢价与汇率。 [International Monetary Fund｜2026-07-08｜World Economic Outlook Update, July 2026](https://www.imf.org/en/publications/weo/issues/2026/07/08/world-economic-outlook-update-july-2026)",收盘价位于MA20下方、MA60上方，MA20未上行；5/10/20日涨跌幅分别为-1.00%/-0.69%/-1.47%，RSI14=53.3，KDJ=空头，MACD=死叉。,情绪分数58.1（中性）；5/10/20日份额净流入为+0.80亿/+1.75亿/+3.44亿，5日成交量相对前20日为1.41倍，代表池综合宽度38.2%，缺失分项：无。
观察,159865,养殖ETF国泰,震荡,2.6871,-0.1866,7.8629,67.1533,72.62,73.19,71.48,空头,0.002063,-0.002399,0.008924,收敛,57.49,中性,,2026-07-20,60474000.00,,392125000.00,,557484000.00,,近90日未发现新增直接政策催化；2月中央一号文件强调农业综合生产能力、农民增收和县域产业，构成中长期政策背景。 [国家林业和草原局（新华社稿）｜2026-02-03｜2026年中央一号文件发布 部署扎实推进乡村全面振兴](https://www.forestry.gov.cn/c/www/szxx/659115.jhtml),上半年社会消费品零售总额同比增长1.3%，粮油食品和饮料类分别增长7.4%和6.0%；消费恢复但总体增速温和。 [国家统计局｜2026-07-15｜上半年消费市场基本平稳 新型消费成长壮大](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964127.html),收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为+2.69%/-0.19%/+7.86%，RSI14=67.2，KDJ=空头，MACD=收敛。,情绪分数57.5（中性）；5/10/20日份额净流入为+0.60亿/+3.92亿/+5.57亿，5日成交量相对前20日为1.10倍，代表池综合宽度38.2%，缺失分项：无。
观察,512880,证券ETF国泰,震荡,1.8215,-3.6207,-1.1494,48.5507,37.11,30.78,49.78,金叉,0.008282,0.013442,-0.010319,收敛,55.72,中性,,2026-07-20,544076000.00,,2695829000.00,,5855548000.00,,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20下方、MA60上方，MA20上行；5/10/20日涨跌幅分别为+1.82%/-3.62%/-1.15%，RSI14=48.6，KDJ=金叉，MACD=收敛。,情绪分数55.7（中性）；5/10/20日份额净流入为+5.44亿/+26.96亿/+58.56亿，5日成交量相对前20日为0.88倍，代表池综合宽度38.2%，缺失分项：无。
观察,159691,港股红利ETF工银,震荡,4.4815,3.3913,3.4813,73.3032,80.26,75.22,90.34,金叉,-0.004095,-0.015381,0.022574,收敛,52.57,中性,,2026-07-20,-2357000.00,,43138000.00,,3260000.00,,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20上行；5/10/20日涨跌幅分别为+4.48%/+3.39%/+3.48%，RSI14=73.3，KDJ=金叉，MACD=收敛。,情绪分数52.6（中性）；5/10/20日份额净流入为-0.02亿/+0.43亿/+0.03亿，5日成交量相对前20日为1.11倍，代表池综合宽度38.2%，缺失分项：无。
观察,510810,上海国企ETF汇添富,震荡,0.7273,-0.5981,-0.7168,54.4715,41.49,44.96,34.55,空头,-0.002993,-0.004414,0.002842,收敛,51.68,中性,,2026-07-20,-30249700.00,,-31383300.00,,-32422000.00,,证监会强调维护资本市场平稳健康运行、强化监管与投资者保护；方向偏支持，但不代表指数短期必涨。 [中国证监会｜2026-07-20｜中国证监会召开投资者座谈会](https://www.csrc.gov.cn/csrc/c100028/c7646232/content.shtml),2026年上半年国内生产总值同比增长4.7%，规模以上制造业增加值增长5.6%；宏观仍扩张，但行业盈利分化需要继续跟踪。 [国家统计局｜2026-07-15｜上半年国民经济顶住压力延续平稳增长态势](https://www.stats.gov.cn/sj/zxfbhjd/202607/t20260715_1964121.html),收盘价位于MA20上方、MA60下方，MA20未上行；5/10/20日涨跌幅分别为+0.73%/-0.60%/-0.72%，RSI14=54.5，KDJ=空头，MACD=收敛。,情绪分数51.7（中性）；5/10/20日份额净流入为-0.30亿/-0.31亿/-0.32亿，5日成交量相对前20日为2.42倍，代表池综合宽度38.2%，缺失分项：无。
